Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
Clydesdale West,All,14635,1243,3429,2184,994,1162,2036,1953,687
Clydesdale West,Males,7111,803,1407,598,711,887,707,1241,328
Clydesdale West,Females,7524,440,2022,1586,283,275,1329,712,359
Coatbridge North and Glenboig,All,14344,814,2575,2125,882,1222,2583,2335,868
Coatbridge North and Glenboig,Males,7055,499,1086,597,666,903,970,1476,450
Coatbridge North and Glenboig,Females,7289,315,1489,1528,216,319,1613,859,418
Coatbridge South,All,11221,543,1898,1708,646,1019,2043,1953,697
Coatbridge South,Males,5414,334,775,451,510,769,726,1221,328
Coatbridge South,Females,5807,209,1123,1257,136,250,1317,732,369
Coatbridge West,All,11316,461,1676,1503,630,1007,2230,2194,817
Coatbridge West,Males,5387,257,667,373,495,710,809,1335,409
Coatbridge West,Females,5929,204,1009,1130,135,297,1421,859,408
Coldside,All,15665,857,2429,1690,731,1196,2432,2340,1174
Coldside,Males,8026,525,1038,528,563,876,1049,1338,632
Coldside,Females,7639,332,1391,1162,168,320,1383,1002,542
Colinton / Fairmilehead,All,17268,3066,4871,2576,1205,759,1724,1066,504
Colinton / Fairmilehead,Males,8400,1964,2106,737,837,530,566,597,233
Colinton / Fairmilehead,Females,8868,1102,2765,1839,368,229,1158,469,271
Corstorphine / Murrayfield,All,16462,3136,4510,2684,1162,783,1545,949,407
Corstorphine / Murrayfield,Males,7890,1941,1984,737,767,571,557,535,172
Corstorphine / Murrayfield,Females,8572,1195,2526,1947,395,212,988,414,235
Cowal,All,5325,428,1301,583,835,400,831,546,161
Cowal,Males,2620,273,562,152,553,262,282,353,66
Cowal,Females,2705,155,739,431,282,138,549,193,95
Cowdenbeath,All,10566,420,1595,1403,692,1043,2058,2124,657
Cowdenbeath,Males,5179,276,702,359,496,762,745,1259,328
Cowdenbeath,Females,5387,144,893,1044,196,281,1313,865,329
Craigentinny / Duddingston,All,19688,1900,4364,3205,1416,1380,2752,2107,925
Craigentinny / Duddingston,Males,9587,1205,1857,980,1044,995,1114,1155,454
Craigentinny / Duddingston,Females,10101,695,2507,2225,372,385,1638,952,471
Craigton,All,21915,887,3574,3330,967,1811,4320,3429,1828
Craigton,Males,10152,531,1431,877,768,1271,1631,1984,867
Craigton,Females,11763,356,2143,2453,199,540,2689,1445,961
Cromarty Firth,All,9403,472,1638,972,736,1046,1908,1648,498
Cromarty Firth,Males,4583,332,702,223,487,753,678,967,198
Cromarty Firth,Females,4820,140,936,749,249,293,1230,681,300
Culloden and Ardersier,All,8918,712,1979,1208,784,907,1528,1068,244
Culloden and Ardersier,Males,4402,440,842,366,535,642,543,693,127
Culloden and Ardersier,Females,4516,272,1137,842,249,265,985,375,117
Cumbernauld North,All,13388,1597,3411,2282,1076,888,1551,1083,356
Cumbernauld North,Males,6536,1001,1507,613,793,662,529,704,160
Cumbernauld North,Females,6852,596,1904,1669,283,226,1022,379,196
Cumbernauld South,All,14832,720,2652,2451,877,1269,2658,2290,778
Cumbernauld South,Males,7189,460,1098,670,656,913,1029,1438,379
Cumbernauld South,Females,7643,260,1554,1781,221,356,1629,852,399
Cumnock and New Cumnock,All,10828,393,1696,1208,877,1133,1987,2137,684
Cumnock and New Cumnock,Males,5315,246,639,276,653,839,737,1291,334
Cumnock and New Cumnock,Females,5513,147,1057,932,224,294,1250,846,350
Cupar,All,10490,1207,2605,1252,885,797,1476,1091,389
Cupar,Males,5085,785,1115,313,577,583,529,614,200
Cupar,Females,5405,422,1490,939,308,214,947,477,189
Dalkeith,All,8707,465,1429,1313,604,856,1631,1478,445
Dalkeith,Males,4208,296,599,320,449,643,586,891,210
Dalkeith,Females,4499,169,830,993,155,213,1045,587,235
Dalry and West Kilbride,All,8488,779,1823,1030,781,808,1176,1040,497
Dalry and West Kilbride,Males,4065,502,728,266,530,614,394,570,230
Dalry and West Kilbride,Females,4423,277,1095,764,251,194,782,470,267
